2	1
3	3
5	3
6	2
7	3
9	6
14	2
16	1
18	23
19	6
20	5
21	5
22	16
23	13
24	3
25	16
26	5
27	24
28	16
29	7
30	3
32	1
35	9
36	1
37	2
39	2
40	2
41	8
43	1
46	3
47	1
48	2
49	2
50	1
52	5
53	4
54	2
100	3
102	1
104	3
105	1
106	7
107	1
108	2
111	2
114	4
117	1
215	1
219	1
220	1
223	1
225	1
230	1
231	1
232	3
236	1
243	2
244	1
248	3
249	3
251	1
261	1
274	1
283	1
289	3
291	2
295	2
310	1
311	2
325	1
332	1
337	1
339	3
340	1
351	2
352	2
355	1
362	1
366	1
376	1
378	1
384	1
388	1
397	2
399	1
400	1
900	1
901	10
903	11
906	3
907	7
908	15
909	6
